control,iteration,auc
Random 11-gene set,176,0.811145173376933
Permuted ER labels,176,0.4940799782001498
Random 11-gene set,177,0.8306696641460589
Permuted ER labels,177,0.45987465086177537
Random 11-gene set,178,0.8849512909598747
Permuted ER labels,178,0.5206212957285918
Random 11-gene set,179,0.8359901900674431
Permuted ER labels,179,0.5309694120852919
Random 11-gene set,180,0.8494311601607739
Permuted ER labels,180,0.475938415423394
Random 11-gene set,181,0.7976565161114517
Permuted ER labels,181,0.5062402070985762
Random 11-gene set,182,0.707371074323864
Permuted ER labels,182,0.5287281149942094
Random 11-gene set,183,0.7679337829552422
Permuted ER labels,183,0.49684583418489003
Random 11-gene set,184,0.8694665849172286
Permuted ER labels,184,0.5126166632604401
Random 11-gene set,185,0.8558689284011173
Permuted ER labels,185,0.474432863274065
Random 11-gene set,186,0.8996661897949453
Permuted ER labels,186,0.4678043463451189
Random 11-gene set,187,0.8065672048504666
Permuted ER labels,187,0.4488452891886368
Random 11-gene set,188,0.8754819810613803
Permuted ER labels,188,0.5327270250017031
Random 11-gene set,189,0.8025274201239867
Permuted ER labels,189,0.5127188500579059
Random 11-gene set,190,0.8613597656516112
Permuted ER labels,190,0.49985012603038353
Random 11-gene set,191,0.8253082635056883
Permuted ER labels,191,0.5523741399277879
Random 11-gene set,192,0.766618979494516
Permuted ER labels,192,0.5065876422099598
Random 11-gene set,193,0.7833708018257375
Permuted ER labels,193,0.5106274269364398
Random 11-gene set,194,0.7969684583418488
Permuted ER labels,194,0.4670958512160228
Random 11-gene set,195,0.8536140064037061
Permuted ER labels,195,0.5192656175488793
Random 11-gene set,196,0.8005041215341645
Permuted ER labels,196,0.4993732543088766
Random 11-gene set,197,0.9107432386402343
Permuted ER labels,197,0.4806662579194768
Random 11-gene set,198,0.8359629402547858
Permuted ER labels,198,0.5073233871517133
Random 11-gene set,199,0.7773349683220927
Permuted ER labels,199,0.4903876285850534
Random 11-gene set,200,0.8085291913618095
Permuted ER labels,200,0.5056270863137816
Random 11-gene set,201,0.8649839907350638
Permuted ER labels,201,0.4931739219292867
Random 11-gene set,202,0.8011036174126303
Permuted ER labels,202,0.5280945568499217
Random 11-gene set,203,0.8611077048845288
Permuted ER labels,203,0.5146399618502623
Random 11-gene set,204,0.8536821309353497
Permuted ER labels,204,0.5329654608624566
Random 11-gene set,205,0.8571087948770353
Permuted ER labels,205,0.47061788950200967
Random 11-gene set,206,0.7980107636759997
Permuted ER labels,206,0.5012194291164248
Random 11-gene set,207,0.8169153212071667
Permuted ER labels,207,0.5381088630015669
Random 11-gene set,208,0.8245384562981131
Permuted ER labels,208,0.44644730567477353
Random 11-gene set,209,0.8711969480209822
Permuted ER labels,209,0.5462156822671844
Random 11-gene set,210,0.8674364738742422
Permuted ER labels,210,0.4963485251038899
Random 11-gene set,211,0.859813338783296
Permuted ER labels,211,0.4818652496764085
Random 11-gene set,212,0.8063696437086996
Permuted ER labels,212,0.48224674705361403
Random 11-gene set,213,0.7929218611622044
Permuted ER labels,213,0.42401389740445533
Random 11-gene set,214,0.8307377886777028
Permuted ER labels,214,0.49257442605082097
Random 11-gene set,215,0.8238572109816745
Permuted ER labels,215,0.49463178690646503
Random 11-gene set,216,0.8609578309149124
Permuted ER labels,216,0.47424211458546217
Random 11-gene set,217,0.8277607466448669
Permuted ER labels,217,0.505456774984672
Random 11-gene set,218,0.778063900810682
Permuted ER labels,218,0.4706383268615028
Random 11-gene set,219,0.8303971660194837
Permuted ER labels,219,0.46065127052251514
Random 11-gene set,220,0.8345187001839361
Permuted ER labels,220,0.4650384903603788
Random 11-gene set,221,0.8896041964711492
Permuted ER labels,221,0.5527760746644867
Random 11-gene set,222,0.7853191634307515
Permuted ER labels,222,0.4646229307173513
Random 11-gene set,223,0.9009128687240275
Permuted ER labels,223,0.4572177941276654
Random 11-gene set,224,0.7960283398051637
Permuted ER labels,224,0.5141222154097691
Random 11-gene set,225,0.876715035084134
Permuted ER labels,225,0.495251720144424
Random 11-gene set,226,0.7429729545609373
Permuted ER labels,226,0.4709789495197221
Random 11-gene set,227,0.8232781524627019
Permuted ER labels,227,0.44507800258873226
Random 11-gene set,228,0.8358471285509912
Permuted ER labels,228,0.5315075958852782
Random 11-gene set,229,0.8161455139995913
Permuted ER labels,229,0.4760337897676954
Random 11-gene set,230,0.8079705702023299
Permuted ER labels,230,0.5268478779208392
Random 11-gene set,231,0.8060698957694666
Permuted ER labels,231,0.5137339055793991
Random 11-gene set,232,0.802500170311329
Permuted ER labels,232,0.5111247360174399
Random 11-gene set,233,0.837543429388923
Permuted ER labels,233,0.541848899788814
Random 11-gene set,234,0.8899311942230397
Permuted ER labels,234,0.5729204986715717
Random 11-gene set,235,0.9027590435315758
Permuted ER labels,235,0.44717623816336266
Random 11-gene set,236,0.8738061175829416
Permuted ER labels,236,0.5002248109544246
Random 11-gene set,237,0.8527488248518292
Permuted ER labels,237,0.485400912868724
Random 11-gene set,238,0.8346413243408952
Permuted ER labels,238,0.4566046733428708
Random 11-gene set,239,0.8518018938619796
Permuted ER labels,239,0.5200286123032904
Random 11-gene set,240,0.8510184617480755
Permuted ER labels,240,0.47792765174739427
Random 11-gene set,241,0.8276449349410723
Permuted ER labels,241,0.5000544996253151
Random 11-gene set,242,0.7998910007493699
Permuted ER labels,242,0.5004564343620137
Random 11-gene set,243,0.8012739287417399
Permuted ER labels,243,0.4776347162613257
Random 11-gene set,244,0.8274405613461406
Permuted ER labels,244,0.48811908168131346
Random 11-gene set,245,0.7869882144560254
Permuted ER labels,245,0.5170992574426051
Random 11-gene set,246,0.8763675999727503
Permuted ER labels,246,0.543197765515362
Random 11-gene set,247,0.8494720348797602
Permuted ER labels,247,0.5368621840724845
Random 11-gene set,248,0.8660058587097215
Permuted ER labels,248,0.5365283738674297
Random 11-gene set,249,0.824892703862661
Permuted ER labels,249,0.46693916479324205
Random 11-gene set,250,0.8226786565842359
Permuted ER labels,250,0.4766264731929968
Random 11-gene set,251,0.8524763267252538
Permuted ER labels,251,0.4297431705157027
Random 11-gene set,252,0.7961850262279447
Permuted ER labels,252,0.4707950132842837
Random 11-gene set,253,0.7778867770284078
Permuted ER labels,253,0.4967027726684379
Random 11-gene set,254,0.7975338919544928
Permuted ER labels,254,0.48471285509912115
Random 11-gene set,255,0.7593296546086246
Permuted ER labels,255,0.5183118741058654
Random 11-gene set,256,0.8343756386674841
Permuted ER labels,256,0.49989781320253424
Random 11-gene set,257,0.8425165201989236
Permuted ER labels,257,0.5171469446147557
Random 11-gene set,258,0.865345050752776
Permuted ER labels,258,0.5420532733837454
Random 11-gene set,259,0.8139859663464813
Permuted ER labels,259,0.5071667007289324
Random 11-gene set,260,0.8662851692894612
Permuted ER labels,260,0.4994413788405204
Random 11-gene set,261,0.8174466925539887
Permuted ER labels,261,0.49856257238231483
Random 11-gene set,262,0.8655902990666938
Permuted ER labels,262,0.5111656107364262
Random 11-gene set,263,0.8229920294297977
Permuted ER labels,263,0.48412698412698413
Random 11-gene set,264,0.8324272770624702
Permuted ER labels,264,0.4864772804686968
Random 11-gene set,265,0.8310988486954152
Permuted ER labels,265,0.49752026704816404
Random 11-gene set,266,0.7909871244635194
Permuted ER labels,266,0.5172082566932352
Random 11-gene set,267,0.7780366509980243
Permuted ER labels,267,0.5505688398392261
Random 11-gene set,268,0.8095306219769739
Permuted ER labels,268,0.5401389740445535
Random 11-gene set,269,0.7799577627903809
Permuted ER labels,269,0.5089311260985081
Random 11-gene set,270,0.8815314394713537
Permuted ER labels,270,0.5042441583214116
Random 11-gene set,271,0.7587982832618025
Permuted ER labels,271,0.48623203215477895
Random 11-gene set,272,0.852374139927788
Permuted ER labels,272,0.5479324204646093
Random 11-gene set,273,0.7458137475304857
Permuted ER labels,273,0.4910893112609851
Random 11-gene set,274,0.8313440970093332
Permuted ER labels,274,0.5210027931057974
Random 11-gene set,275,0.8200081749437973
Permuted ER labels,275,0.4567545473124872
Random 11-gene set,276,0.8462224947203487
Permuted ER labels,276,0.4497104707405137
Random 11-gene set,277,0.8954560937393556
Permuted ER labels,277,0.534443763199128
Random 11-gene set,278,0.9021867974657676
Permuted ER labels,278,0.513856529736358
Random 11-gene set,279,0.8345459499965939
Permuted ER labels,279,0.5594454663124191
Random 11-gene set,280,0.8453096259963213
Permuted ER labels,280,0.4697322705906397
Random 11-gene set,281,0.8666666666666667
Permuted ER labels,281,0.49726139382791745
Random 11-gene set,282,0.8214932897336331
Permuted ER labels,282,0.4961577764152872
Random 11-gene set,283,0.8667007289324886
Permuted ER labels,283,0.5169766332856461
Random 11-gene set,284,0.8297227331562096
Permuted ER labels,284,0.5205736085564412
Random 11-gene set,285,0.8547244362695006
Permuted ER labels,285,0.506076708222631
Random 11-gene set,286,0.8224810954424688
Permuted ER labels,286,0.4322978404523469
Random 11-gene set,287,0.8807956945296
Permuted ER labels,287,0.5306424143334014
Random 11-gene set,288,0.8744601130867226
Permuted ER labels,288,0.4954560937393555
Random 11-gene set,289,0.8211799168880713
Permuted ER labels,289,0.5019211117923564
Random 11-gene set,290,0.8429252673887868
Permuted ER labels,290,0.5120921043667824
Random 11-gene set,291,0.8051434021391102
Permuted ER labels,291,0.5358880032699775
Random 11-gene set,292,0.8465631173785682
Permuted ER labels,292,0.47737584304107905
Random 11-gene set,293,0.8434157640166224
Permuted ER labels,293,0.48664759179780637
Random 11-gene set,294,0.8646842427958308
Permuted ER labels,294,0.5389127324749643
Random 11-gene set,295,0.7962395258532597
Permuted ER labels,295,0.506751141085905
Random 11-gene set,296,0.7577832277403093
Permuted ER labels,296,0.5224879078956332
Random 11-gene set,297,0.8864500306560392
Permuted ER labels,297,0.5261802575107296
Random 11-gene set,298,0.8703317664691056
Permuted ER labels,298,0.5205054840247973
Random 11-gene set,299,0.7971047074051367
Permuted ER labels,299,0.49050344028884807
Random 11-gene set,300,0.8637236868996526
Permuted ER labels,300,0.46101914299339186
