family,feature,transformation,model,covariates,n,unadjusted_Kruskal_P,global_subtype_F,global_subtype_P,partial_R2_subtype,global_subtype_FDR_all_features,global_subtype_FDR_within_family
ssGSEA,B_cell,none,ER,stage + ER + ESTIMATEScore,899,0.4200112301404765,2.640020992470799,0.04835096781754317,0.008800851656988991,0.061988420278901495,0.05439483879473606
ssGSEA,B_cell,none,PAM50,stage + PAM50 + ESTIMATEScore,755,0.4200112301404765,2.04490574360079,0.10620798523609269,0.00816726625740206,0.19668145414091237,0.15882956585957017
ssGSEA,Macrophage,none,ER,stage + ER + ESTIMATEScore,899,0.03671747754564198,4.160708821151963,0.0061240808158298824,0.013800301960925711,0.008748686879756974,0.007873818191781278
ssGSEA,Macrophage,none,PAM50,stage + PAM50 + ESTIMATEScore,755,0.03671747754564198,1.7210032059546791,0.16123025599654636,0.006882516935211315,0.23710331764197992,0.18138403799611466
ssGSEA,DC,none,ER,stage + ER + ESTIMATEScore,899,2.9783760206695477e-10,5.9932393386694045,0.00048117289519849447,0.019758372258239624,0.0009771953426210246,0.00086611121135729
ssGSEA,DC,none,PAM50,stage + PAM50 + ESTIMATEScore,755,2.9783760206695477e-10,1.9283637876103499,0.12353410677966568,0.007705389237724348,0.2003875905332057,0.15882956585957017
ssGSEA,Neutrophil,none,ER,stage + ER + ESTIMATEScore,899,6.071847085761196e-05,8.248855220677648,2.0380688869290168e-05,0.026993900592539543,5.6613024636917135e-05,4.5856549955902876e-05
ssGSEA,Neutrophil,none,PAM50,stage + PAM50 + ESTIMATEScore,755,6.071847085761196e-05,4.122402754338016,0.006501445730730019,0.016329210095295327,0.020913471376453746,0.014628252894142543
ssGSEA,Stroma,none,ER,stage + ER + ESTIMATEScore,899,1.0502965000877526e-23,18.48061263782124,1.227521211589383e-11,0.05851740517978645,1.0229343429911525e-10,5.5238454521522236e-11
ssGSEA,Stroma,none,PAM50,stage + PAM50 + ESTIMATEScore,755,1.0502965000877526e-23,5.21081470123795,0.0014484611276055067,0.020551902860433773,0.009052882047534417,0.00434538338281652
CIBERSORT,B.cells.naive,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,4.04362877307951e-05,4.272664664805278,0.005248888978687522,0.014166378298722188,0.007952862088920487,0.010497777957375044
CIBERSORT,B.cells.naive,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,4.04362877307951e-05,0.7704339255087896,0.5107470792659685,0.0030928232599077344,0.6228622917877664,0.7462358762023767
CIBERSORT,B.cells.memory,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,0.021259407582480926,1.569190215095847,0.19530934620540638,0.005249839300341677,0.22710389093651903,0.2527532715599377
CIBERSORT,B.cells.memory,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,0.021259407582480926,0.46011204321392096,0.7102332631782642,0.00184937365418749,0.8070832536116638,0.8680628772178784
CIBERSORT,Plasma.cells,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,0.568115933796556,0.7787581169385377,0.5059387142535057,0.002612299666041699,0.5499333850581584,0.6183695396431736
CIBERSORT,Plasma.cells,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,0.568115933796556,0.6603243797569837,0.5766368134291093,0.0026519726880668594,0.6705079225919875,0.7462358762023767
CIBERSORT,T.cells.CD8,arcsine_sqrt,ER,stage + ER + ESTIMATEScore,899,0.011025774217322693,4.571774881952654,0.0034731235437918573,0.015143085550882958,0.005426755537174777,0.007640871796342086
CIBERSORT,T.cells.CD8,arcsine_sqrt,PAM50,stage + PAM50 + ESTIMATEScore,755,0.011025774217322693,1.8506720969129788,0.1365519772715502,0.007397243855498843,0.21336246448679716,0.30041434999741046
