"sample_id","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","RMSE"
"TCGA-A2-A04Q-01A",0.110336312804426,0,0.038361517660374,0.115911324400417,0,0.0369219546855764,0.0179818456926003,0.128014250364158,0,0,0,0.0994999866838988,0.0566297618275647,0.0441325191806896,0.12368286042771,0.0997868220348154,0.029994784814858,0.0634499382310873,0.0352961211918231,0,0,0,1.8520347241157
"TCGA-A2-A04R-01A",0.0739658790572582,0,0.06378678036425,0,0,0.145596810134934,0,0.0111318353188481,0,0,0.0440143547353837,0,0.0137967682019874,0.216824781870651,0.0649742174139455,0.0839790237265278,0,0.0302359855275018,0.233421400823935,0,0.0182721628247777,0,1.8378041180293
"TCGA-A2-A04T-01A",0.158068416003792,0,0.0773758592326979,0.0667568798564492,0,0.0972628018166025,0.0359259283992649,0.119418561083067,0,0,0,0.0591951086167109,0.045809991584145,0.0560881436112326,0.112216052947853,0.0713795852724408,0.0202796083815972,0.0559920247955134,0.0242310383986331,0,0,0,1.75544727250306
"TCGA-A2-A04U-01A",0.0769852061467383,0,0.143948992965348,0.114835002632077,0,0.10237063672532,0,0.0870878721912797,0.0274014371842187,0,0,0.0351276796501252,0.0118054898184016,0.160971686930514,0.0104257684025572,0.101470218799577,0,0.0872957329156262,0.0402742756382185,0,0,0,1.77772741028452
"TCGA-A2-A04V-01A",0.0139902266416566,0.0057159390994231,0,0.0639028593511744,0,0.145617597177443,0,0.0225331892970102,0.0390394729708692,0,0,0.178834302322583,0.0684037737973992,0.08025117271025,0.0955407163594258,0.111567720750465,0.0163954316748444,0.0206418853752134,0.137565712472242,0,0,0,1.72744183438303
"TCGA-A2-A04W-01A",0.0908242561629995,0,0.0739523797825485,0.0773365154070425,0,0.16200138129567,0,0.0695361978672171,0,0,0,0.0637292730157112,0.014185385851872,0.150708009535508,0.0494807301206364,0.107617290910333,0,0.0364626884192155,0.0967529654938966,0,0.00256857941448953,0.00484434672286016,1.80122221008721
"TCGA-A2-A04X-01A",0.0702601085472129,0.0253927768969461,0.0683813238680653,0.0749792885086129,0,0.138936670474582,0,0.0619401760729213,0.000568870454334087,0,0,0.101881970556268,0.0416937605986482,0.0657310424768766,0.114041325801207,0.0877489783752007,0,0.061685568340109,0.086758139029016,0,0,0,1.78915068931342
"TCGA-A2-A04Y-01A",0.077370789587562,0,0.047930609558994,0.0996020644244135,0,0.189610602796058,0,0.0907456219206439,0,0,0.0514083194908134,0,0.0457701183037177,0.0285560693480281,0.129041497286099,0.134981616445412,0,0.0288265064728779,0.0584224705719798,0,0.0177337137934007,0,1.79900104223872
"TCGA-A2-A0CL-01A",0.111691150683335,0.0293841705883931,0.0172746107272456,0.01490859288517,0,0.166861232386084,0.031825918214614,0.0916672822431044,0,0,0.0206936107502807,0.0430610743937071,0.0753242419417589,0.0379233355929783,0.137665619616795,0.09598559574829,0,0.0442031502227932,0.0815304140054501,0,0,0,1.9195930076798
"TCGA-A2-A0CM-01A",0.0462317803601421,0.0145496311388724,0.0654554613053872,0.112086059691268,0,0.113532941704945,0.0238399209426839,0.104668619822052,0,0,0,0.0579886848607059,0.0562179346911313,0.0794069517342998,0.196158980591718,0.0836347402379807,0,0.0380884201225831,0.00813987279623098,0,0,0,1.899342994303
"TCGA-A2-A0CP-01A",0.108341420012328,0,0.126423969961433,0.0547440705222365,0,0.207584026724351,0,0.0122849036452297,0,0,0,0.00801469509103668,0.0184426670588494,0.037493342694169,0.0843398356446191,0.115906145136651,0,0.0496206001960888,0.176804323313008,0,0,0,1.77939171018092
"TCGA-A2-A0CQ-01A",0.0197237920805796,0,0,0,0,0.158343042563667,0,0.0743973430217913,0.0607548313095108,0,0,0.0616786755354547,0.0522997090595701,0.0287321542650047,0.0894083166010785,0.315319023990802,0,0.0611735193100821,0.0205579872451634,0,0.057611605017296,0,1.94658659509602
"TCGA-A2-A0CR-01A",0.168988577593621,0,0.0547113758425307,0.149095542295455,0,0.0561618839639522,0,0.0928191722535722,0.0285433109626597,0,0.00898488300856203,0.0452467586078622,0.0355515166719938,0.023854252059946,0.113169465596895,0.0952852013026743,0.0293037245906066,0.0300428238047823,0.0651112030219677,0,0,0.00313030842291935,1.82950523521384
"TCGA-A2-A0CS-01A",0.0278548798070746,0,0,0.0614489597113387,0,0.220555146425265,0,0.0123138809105523,0.0467559506812811,0,0,0.0522242427736837,0.0242017046782863,0.0058366266203493,0,0.129303288403457,0.127104400866663,0.123360103291806,0.169040815830243,0,0,0,1.83331323828265
"TCGA-A2-A0CT-01A",0.121439652828772,0,0.012386627098643,0,0,0.209425265505867,0,0.0401962198345505,0,0,0,0.0897388280661018,0.00529606821065056,0.0302108612356451,0.0867620053517088,0.143536142015538,0.00375168294374675,0.0212951845078519,0.204087139331201,0,0.0318743230697232,0,1.81169528491035
"TCGA-A2-A0CU-01A",0.0908739554359368,0,0,0.0672410088877495,0,0.156947437877676,0,0.108097291047863,0,0,0.0143315863352404,0.0700085141696141,0.0779254099413255,0.0203490725538149,0.0982423617073825,0.147536886618813,0,0.0413247778094062,0.103858863904572,0,0.00326283371060588,0,1.82927281893678
"TCGA-A2-A0CV-01A",0.153665936265545,0,0.0111464392830853,0.132999987314285,0,0.140033132606292,0,0.132394649710296,0,0,0.0133576423059991,0,0.0344999217945455,0.0232431841740204,0.0915477374693481,0.137818005475843,0,0.0853975274798827,0.0270542320616517,0,0.0168416040592058,0,1.89408962291071
"TCGA-A2-A0CW-01A",0.0515039227997051,0,0.0212829989707533,0.0483317365899841,0,0.162853405113512,0.00895751517247105,0.0658435663778943,0,0,0,0.0991902873081048,0.0224114446052524,0.0598829704132978,0.143306189549551,0.126648537185277,0,0.0712347295739679,0.115504425745336,0,0,0.00304827059489301,1.79699816746309
"TCGA-A2-A0CX-01A",0.0784630749552828,0,0.0184868445981965,0.0118935854981382,0,0.18854176564501,0,0.0829238403543345,0,0,0,0.106351872171587,0.00370516488403098,0.0583756844549351,0.125015521990905,0.142498878439616,0,0.0529810884610091,0.113230173885175,0,0,0.0175325046617813,1.83245668485075
"TCGA-A2-A0D0-01A",0.0324127929835641,0,0,0.110488594775974,0,0.149816853722713,0.0308799795021257,0.14627620151927,0,0,0,0.064722365932778,0.04182108978277,0.0992317470356332,0.131873232779107,0.0737650005218601,0.0657798757497921,0.0480223251588902,0,0,0,0.00490994053552267,1.73735498405081
"TCGA-A2-A0D1-01A",0.0210027016765134,0,0.113962257796952,0.033167254690086,0,0.149248983702047,0,0.114367181576821,0,0,0,0.0969310492727817,0.0154492427026502,0.226578112965146,0.103576381300611,0.0486642364793569,0,0.0544081076482782,0.0226444901887577,0,0,0,1.84404180737598
"TCGA-A2-A0D2-01A",0.113888499387098,0,0.0208108900869034,0.0719661980755356,0,0.0751217896699606,0.0209462854280322,0.100003286366498,0,0,0.0132708494547946,0.0397560749863394,0.0615877066278143,0.0792155900416894,0.1395733673324,0.0858900415108397,0.0271427814310483,0.0664525447377206,0.0843740948633248,0,0,0,1.80063162805483
"TCGA-A2-A0D3-01A",0.220852849041621,0,0.0314247550217908,0.124165269176077,0,0.0903390996938743,0,0.110598718938265,0,0,0,0.0583128354656113,0.0323079004816094,0.039302071640037,0.113474028059765,0.0726799171582226,0.0112816865773413,0.0486630991939443,0.0465977695518414,0,0,0,1.81200883131193
"TCGA-A2-A0D4-01A",0.105934383012187,0,0.037945452730882,0,0,0.262964971244789,0,0,3.95975940555851e-05,0,0.007492380393137,0.048946736888301,0.0435647918817804,0.0535159309900686,0.0472106963432765,0.177010639309693,0.0113881009902049,0.00301893324040113,0.199034716997393,0,0.00193266838383117,0,1.84279019515713
"TCGA-A2-A0EM-01A",0.00555105184931617,0.0250486460392131,0,0.00642103286215262,0,0.232538090014725,0,0.078400068396508,0,0,0.0260049673256081,0.0132616271531356,0.0506561190019088,0.00216486091286191,0.0973995327314655,0.179864957955523,0.0862455199616615,0.085323772727111,0.111086452920784,0,3.33001480259917e-05,0,1.90131679975639
"TCGA-A2-A0EN-01A",0.162838943621696,0,0.00166584879418872,0.0926187494127782,0,0.109930400333378,0,0.0885186389718602,0.021915252992377,0,0,0.0536139574040728,0.0472615286250666,0.0357900273407966,0.106336600520596,0.0942581782287016,0.01653414914361,0.0595182439531768,0.109199480657702,0,0,0,1.81503157693654
"TCGA-A2-A0EO-01A",0.164797414234906,0,0.0525323449763224,0.0536838916065742,0,0.225337379598454,0,0.0518439383851491,0,0,0,0.0349922483403525,0.0408333653331991,0.0517294969994869,0.0907561410519337,0.0841044555197571,0.00428827341322439,0.0289037523532196,0.11619729818742,0,0,0,1.82970041151274
"TCGA-A2-A0EP-01A",0.148886535720159,0,0.0237711641977114,0.060187571694769,0,0.156041202127659,0.0354009573464478,0.0864439890212488,0,0,0.0417273314025018,0.0142433163525551,0.0458917008384178,0.0476482653791229,0.0653673242013139,0.0952654237161195,0.0628296946819419,0.070050095433992,0.0302924314158951,0,0.0159529964701449,0,1.81279303319752
"TCGA-A2-A0EQ-01A",0.154645917363231,0,0.066592568623731,0.083562664601044,0,0.157188759000191,0.0422439383607712,0.0507421038377297,0,0,0.020240535792977,0.00751097737539387,0.0208193654745014,0.0742499536120351,0.144318035444959,0.0554057229441302,0.020837487875006,0.0484176832941535,0.053224286400146,0,0,0,1.84740643613891
