,No benefits,Responder,TIDE,IFNG,MSI Score,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2,CTL
S902,False,True,-0.9175203848728981,5.010467876990636,0.9997906229454058,1.244549036026001,2.8099128007888794,True,-0.9175203848728981,1.7605479109049174,0.07867133044008161,0.18166807192506237,-0.011750912895353077,2.456106
S462,False,True,-0.9179469151125942,7.283089419205982,0.9987191732355866,3.7086172103881836,4.437238931655884,True,-0.9179469151125942,1.7825192860591244,0.08719058895470455,0.2023206628107571,-0.0384487690031086,4.121118
S338,False,True,-0.9192153315451624,6.431358873844147,0.9991202623798696,3.299459218978882,3.909700632095337,True,-0.9192153315451624,1.604646891298696,0.06941140227564024,0.1864865643228708,-0.03374449368868499,3.5778136
S383,False,True,-0.919306506687083,5.079872970779736,0.9995205439993201,2.266576051712036,2.8628385066986084,True,-0.919306506687083,1.8881323179125682,0.07718732366184426,0.21565793837304562,-0.023511027954301933,2.298676
S5,False,True,-0.9203001505346938,5.480335044364134,0.9993813941727532,2.065531015396118,3.658709168434143,True,-0.9203001505346938,2.032759535871955,0.08038727247676675,0.22227718747809924,-0.009499191744642055,3.0038188
S766,False,True,-0.923369738335242,3.043988436460495,0.9999430381697633,1.1089707612991333,3.9394113421440125,True,-0.923369738335242,1.595638150929032,0.09457526806825732,0.12819425984074018,-0.002974126446948471,2.134849
S450,False,True,-0.9233708003058492,7.108118871847788,0.9978608694305336,3.6631314754486084,4.509532690048218,True,-0.9233708003058492,1.7269574328865933,0.06831614847625762,0.21812778464064925,-0.04058073282406029,4.166856
S329,False,True,-0.9263092012278472,6.817339917023976,0.9983579856547952,3.7822835445404053,3.70425808429718,True,-0.9263092012278472,1.5670306250950068,0.06117491099900202,0.18235653429321094,-0.02569311356877845,3.8375244
S850,False,True,-0.9271550986526862,6.506982654333115,0.9995357826680914,4.267061233520508,3.2643885612487793,True,-0.9271550986526862,1.4098840548223148,0.05611799601126677,0.19090360797566147,-0.05291223506649036,3.020249
S595,False,True,-0.9287567381578533,6.75055189927419,0.9975715102340122,2.8548948764801025,4.9804476499557495,True,-0.9287567381578533,1.8533527141302255,0.08931086707881733,0.19595771859711184,-0.021445085341061668,4.6516733
S431,False,True,-0.9354521326944621,4.459099898735682,0.9990210555845808,1.8674765825271606,2.6765909790992737,True,-0.9354521326944621,1.937743522403473,0.09652929996889757,0.1995080395326422,-0.01833128099025809,2.449992
S675,False,True,-0.9397324972966811,5.723930870493253,0.9997035964336016,3.063739538192749,3.4769480228424072,True,-0.9397324972966811,1.733834988978892,0.050304501209603475,0.2259375412758641,-0.0325385654203202,3.5539012
S950,False,True,-0.9405901662979808,3.789551511406898,0.9997493006581883,1.7433207035064697,3.5159326791763306,True,-0.9405901662979808,1.8553984047247052,0.07892135484903692,0.19409665830675946,-0.011999359130495865,3.50653
S217,False,True,-0.9469610872595065,5.698856025934219,0.9997156144086434,2.7168195247650146,3.794306993484497,True,-0.9469610872595065,1.7238893205831476,0.05970184632659006,0.20453881006268887,-0.01991754352575927,3.7055516
S750,False,True,-0.94894547548966,5.338803753256798,0.9957002537859867,2.2472290992736816,3.4884345531463623,True,-0.94894547548966,2.123739642528506,0.08284880685056345,0.2434781281249267,-0.01510636328806179,2.8080425
S887,False,True,-0.9564368005558072,4.295267383257547,0.9998607690952127,1.741461992263794,2.5677480697631836,True,-0.9564368005558072,1.6763258495742983,0.07801423159817548,0.15234744028580968,0.004105993351506688,2.247115
S400,False,True,-0.9598209386291537,4.7432436272501945,0.9977581554670271,1.679352879524231,2.1518035531044006,True,-0.9598209386291537,1.779121710515312,0.07238395084641232,0.18785352572579767,-0.008428470911354206,2.1438642
S894,False,True,-0.9622537239329643,3.7842595130205154,0.9998172433576904,0.7345451712608337,1.124543935060501,True,-0.9622537239329643,1.831623545449013,0.09722441298225348,0.1666588208198744,-0.0071271844810783525,1.2582703
S883,False,True,-0.9630885103460269,4.49750999857982,0.9997008677346271,2.2457685470581055,2.573599338531494,True,-0.9630885103460269,2.0123401803375542,0.07571946627691029,0.22708430561809909,-0.012212372475276286,2.3440754
S237,False,True,-0.9642439106026739,5.77138939499855,0.9935249224231442,2.5362582206726074,3.3811055421829224,True,-0.9642439106026739,1.9495310256863052,0.1168188144570175,0.18938039194670261,-0.026973225950113956,3.0731196
S379,False,True,-0.9643643810378787,4.555744118988514,0.9996471180650254,2.7319138050079346,2.611418843269348,True,-0.9643643810378787,1.9121434162235202,0.05949535626843498,0.24430085663197657,-0.026147672951188746,2.33319
S155,False,True,-0.965330208079714,4.8810988664627075,0.9992300010386775,1.9022655487060547,2.273707330226898,True,-0.965330208079714,1.8653303268950618,0.04005210640076543,0.2414876593183175,-0.014768063410869519,2.1872578
S221,False,True,-0.9697330637043046,3.957007070382436,0.9995510487483067,1.8788163661956787,2.390470504760742,True,-0.9697330637043046,2.0902484944707806,0.09379605608902378,0.21940510100973384,-0.010166868425730545,1.9555807
S225,False,True,-0.971274004411416,5.715895334879557,0.999706505774311,2.426133871078491,3.544600009918213,True,-0.971274004411416,1.6774108163253623,0.07742686009182834,0.17701344666788665,-0.020815341539541597,3.3544002
S498,False,True,-0.9723248304003161,5.816636661688486,0.9992779005863447,2.3471531867980957,3.300999879837036,True,-0.9723248304003161,2.093746992723335,0.09020093648048656,0.23176962174865004,-0.01906822096612614,2.9846263
S520,False,True,-0.9723278162203686,6.558214942614237,0.9995076498660912,4.0252227783203125,5.469815731048584,True,-0.9723278162203686,1.3483737094346073,0.06476660397958584,0.15523839881342466,-0.03832255254384633,4.827016
S568,False,True,-0.9726278050340167,4.656837671995163,0.9997792445827688,2.1030139923095703,3.0372642278671265,True,-0.9726278050340167,2.012144533304022,0.08608009793838743,0.2075247376080642,-0.002917405788140253,2.5620503
S863,False,True,-0.9730876270488342,5.586864173412323,0.9989409390029615,2.323394775390625,4.414567828178406,True,-0.9730876270488342,1.9738740665167247,0.08968148300398167,0.21398169808721532,-0.01956244970739846,3.3227363
S479,False,True,-0.9749727509292964,3.798816492160161,0.9986238682593915,1.9042038917541504,2.285401463508606,True,-0.9749727509292964,2.3178502162978454,0.07256147084330308,0.28152122074534913,-0.013166641999817505,2.0941343
S471,False,True,-0.97903361530779,5.261223092675209,0.9981693471442068,2.227363348007202,2.4347423911094666,True,-0.97903361530779,2.2337039314470823,0.07468039191701899,0.2730592325223137,-0.019533935565197568,2.4426873
S798,False,True,-0.9796044996294808,4.518515720963478,0.9988393403185906,1.5211243629455566,2.7670096158981323,True,-0.9796044996294808,2.062180562511492,0.11397840857855002,0.18260630087194996,-0.0009559529991241757,2.3489747
S738,False,True,-0.9803713131722104,7.3717290957768755,0.9997367070102465,3.3237993717193604,5.693059206008911,True,-0.9803713131722104,1.2866106336678174,0.09125331756622267,0.10570873015782271,-0.031396772110319306,5.3559313
S463,False,True,-0.9821495696766244,7.776810248692829,0.9997933847368055,4.457533836364746,4.658273458480835,True,-0.9821495696766244,1.1685173073638182,0.060271388578860836,0.12637097029076239,-0.034282654812189,4.8322654
S273,False,True,-0.983338699407338,5.33577594657739,0.9994615963953116,2.2244904041290283,3.53026807308197,True,-0.983338699407338,1.910714457554088,0.07063126085495654,0.2171680895238696,-0.012173463864528377,2.979893
S929,False,True,-0.9876185581127316,3.42561624571681,0.9992452285162435,1.0156952142715454,1.0742968171834946,True,-0.9876185581127316,1.5170402273344659,0.07692911504825005,0.13996209899422332,-0.009672967147577656,1.1189455
S861,False,True,-0.9899823461030587,4.543220231930415,0.9979428009044465,2.5728044509887695,2.6529312133789062,True,-0.9899823461030587,1.7288948125576642,0.04311683250584397,0.23318449436362368,-0.03023511035643659,1.9859167
S773,False,True,-0.9908188637988472,5.656297003229459,0.9997269240702737,2.4603512287139893,3.7871662378311157,True,-0.9908188637988472,2.0003108286987925,0.08881359885900625,0.22075347906547083,-0.020379715530210805,3.284404
S415,False,True,-0.9922420041237094,6.1006513337294255,0.9997331632029767,2.5956997871398926,3.2417683601379395,True,-0.9922420041237094,1.7328659186510469,0.07246740232811782,0.1955539937171694,-0.02264130800810352,3.1747518
S52,False,True,-0.9926671538413593,7.619117657343546,0.999416258011731,3.717651605606079,4.210031986236572,True,-0.9926671538413593,1.3521603649470424,0.07520782914210648,0.13510420592719335,-0.028352382815286247,4.5881023
S608,False,True,-0.9943832941672275,7.226085106531779,0.9995868902710439,3.2326784133911133,3.74319589138031,True,-0.9943832941672275,1.626701959677619,0.0678192235510611,0.19527196634066937,-0.03689662610218866,4.0147414
S692,False,True,-1.0006475010658553,4.330183871090412,0.9998234880705011,2.1995444297790527,2.826258897781372,True,-1.0006475010658553,1.9247191958678183,0.07883959047787252,0.2084520310910952,-0.010133899344404049,2.5386271
S889,False,True,-1.002906819388612,3.521980226039886,0.9996759831501794,1.320151448249817,1.7584184408187866,True,-1.002906819388612,1.9835902048397343,0.1125741705270324,0.16586562013280498,0.004408632791019438,1.9198955
S2,False,True,-1.0040703211914277,5.446640615661939,0.9978916246333187,1.7229670286178589,3.6023937463760376,True,-1.0040703211914277,1.955146535922887,0.10570076175606323,0.18544841266727963,-0.011270592775691712,3.2853234
S827,False,True,-1.0045148661561867,3.776285921533902,0.9994701431243255,2.4852776527404785,1.9253453612327576,True,-1.0045148661561867,2.075356287391079,0.06842978965322004,0.24294239258828393,-0.008428402026134159,1.5781634
S160,False,True,-1.0078117166367992,7.894771854082743,0.9976599943495226,5.119364261627197,3.8625017404556274,True,-1.0078117166367992,1.3476021410810937,0.07107534654261789,0.1646271984670777,-0.05629780767822939,4.3823805
S436,False,True,-1.0091842780086124,6.909594198067982,0.998790422800006,3.2347731590270996,4.1035497188568115,True,-1.0091842780086124,1.6505032473035197,0.06848932753787035,0.1759438887244407,-0.015315994038910803,4.1526213
S694,False,True,-1.011400112915848,4.8769081979990005,0.9993150163121073,3.610461711883545,1.783115953207016,True,-1.011400112915848,1.6378700549611895,0.07025310813246724,0.20628911538849742,-0.04587945412600057,1.7432699
S222,False,True,-1.0125486396087544,4.331551077465216,0.9989775484619505,4.078378200531006,2.4277403354644775,True,-1.0125486396087544,2.1622423989110566,0.09219121812677016,0.25275473477782645,-0.030709985480655032,2.47479
